id,probe0,probe1,probe2,probe3,recordedat
62,78.80,80.60,303.80,251.60,2019-01-13 16:55:29.690476-05
63,78.80,80.60,303.80,251.60,2019-01-13 16:55:30.868829-05
64,78.80,80.60,303.80,251.60,2019-01-13 16:55:31.641974-05
65,78.80,80.60,302.00,251.60,2019-01-13 16:55:32.816564-05
66,78.80,80.60,302.00,251.60,2019-01-13 16:55:34.001303-05
67,78.80,80.60,302.00,251.60,2019-01-13 16:55:34.763633-05
68,78.80,80.60,303.80,251.60,2019-01-13 16:55:35.944721-05
69,78.80,80.60,303.80,251.60,2019-01-13 16:55:36.723741-05
70,78.80,80.60,305.60,251.60,2019-01-13 16:55:37.883946-05
71,80.60,80.60,305.60,251.60,2019-01-13 16:55:38.667238-05
72,80.60,80.60,305.60,251.60,2019-01-13 16:55:40.227044-05
73,80.60,80.60,305.60,251.60,2019-01-13 16:55:40.610827-05
74,80.60,80.60,305.60,251.60,2019-01-13 16:55:41.782408-05
75,80.60,80.60,305.60,251.60,2019-01-13 16:55:42.952944-05
76,80.60,80.60,305.60,251.60,2019-01-13 16:55:43.730497-05
77,80.60,80.60,305.60,251.60,2019-01-13 16:55:44.903868-05
78,80.60,80.60,305.60,251.60,2019-01-13 16:55:45.682765-05
79,80.60,80.60,305.60,253.40,2019-01-13 16:55:46.852903-05
80,80.60,80.60,305.60,253.40,2019-01-13 16:55:47.630484-05
81,80.60,80.60,303.80,253.40,2019-01-13 16:55:48.80259-05
82,80.60,80.60,303.80,253.40,2019-01-13 16:55:49.58181-05
83,80.60,80.60,303.80,253.40,2019-01-13 16:55:50.754721-05
84,80.60,80.60,303.80,253.40,2019-01-13 16:55:52.31271-05
85,80.60,80.60,303.80,253.40,2019-01-13 16:55:52.704084-05
86,80.60,80.60,300.20,253.40,2019-01-13 16:55:54.262755-05
87,80.60,80.60,300.20,253.40,2019-01-13 16:55:54.650535-05
88,80.60,80.60,300.20,253.40,2019-01-13 16:55:55.821734-05
89,80.60,80.60,300.20,253.40,2019-01-13 16:55:56.603418-05
90,80.60,80.60,300.20,253.40,2019-01-13 16:55:57.772552-05
91,80.60,80.60,300.20,253.40,2019-01-13 16:55:58.944173-05
92,80.60,80.60,300.20,253.40,2019-01-13 16:55:59.721318-05
93,80.60,82.40,303.80,253.40,2019-01-13 16:56:00.908976-05
94,80.60,82.40,303.80,253.40,2019-01-13 16:56:01.673952-05
95,80.60,82.40,302.00,253.40,2019-01-13 16:56:02.84136-05
96,80.60,82.40,302.00,253.40,2019-01-13 16:56:03.620174-05
97,80.60,82.40,302.00,253.40,2019-01-13 16:56:04.7932-05
98,80.60,82.40,302.00,253.40,2019-01-13 16:56:05.962579-05
99,80.60,82.40,303.80,253.40,2019-01-13 16:56:06.749758-05
100,80.60,82.40,303.80,253.40,2019-01-13 16:56:07.912117-05
101,82.40,84.20,300.20,253.40,2019-01-13 16:58:24.809545-05
102,82.40,84.20,300.20,253.40,2019-01-13 16:58:24.838085-05
103,82.40,84.20,300.20,253.40,2019-01-13 16:58:24.842775-05
104,82.40,84.20,300.20,253.40,2019-01-13 16:58:25.966011-05
105,82.40,84.20,298.40,253.40,2019-01-13 16:58:26.762214-05
106,82.40,84.20,298.40,253.40,2019-01-13 16:58:27.925067-05
107,84.20,84.20,296.60,253.40,2019-01-13 16:58:28.705336-05
108,84.20,84.20,296.60,253.40,2019-01-13 16:58:29.879335-05
109,84.20,84.20,296.60,253.40,2019-01-13 16:58:31.037235-05
110,84.20,84.20,296.60,253.40,2019-01-13 16:58:31.81539-05
111,84.20,84.20,296.60,253.40,2019-01-13 16:58:32.986346-05
112,84.20,86.00,298.40,253.40,2019-01-13 16:58:33.765421-05
113,84.20,86.00,298.40,253.40,2019-01-13 16:58:34.937629-05
114,84.20,86.00,296.60,253.40,2019-01-13 16:58:36.496226-05
115,84.20,86.00,296.60,253.40,2019-01-13 16:58:36.886163-05
116,84.20,86.00,294.80,253.40,2019-01-13 16:58:38.05554-05
117,84.20,86.00,294.80,253.40,2019-01-13 16:58:38.835485-05
118,84.20,86.00,294.80,253.40,2019-01-13 16:58:40.007034-05
119,84.20,86.00,294.80,253.40,2019-01-13 16:58:40.785944-05
120,84.20,86.00,294.80,253.40,2019-01-13 16:58:41.955859-05
121,84.20,86.00,294.80,253.40,2019-01-13 16:58:42.735985-05
122,84.20,86.00,294.80,253.40,2019-01-13 16:58:43.905982-05
123,84.20,86.00,293.00,253.40,2019-01-13 16:58:44.685793-05
124,84.20,86.00,293.00,253.40,2019-01-13 16:58:45.855885-05
125,84.20,86.00,291.20,253.40,2019-01-13 16:58:47.025893-05
126,84.20,86.00,291.20,253.40,2019-01-13 16:58:48.195907-05
127,84.20,86.00,291.20,253.40,2019-01-13 16:58:48.976422-05
128,84.20,86.00,291.20,253.40,2019-01-13 16:58:49.758261-05
129,84.20,86.00,291.20,253.40,2019-01-13 16:58:50.925756-05
130,84.20,86.00,289.40,253.40,2019-01-13 16:58:51.705779-05
131,84.20,86.00,289.40,253.40,2019-01-13 16:58:52.878437-05
132,84.20,86.00,289.40,253.40,2019-01-13 16:58:54.060408-05
133,84.20,86.00,289.40,253.40,2019-01-13 16:58:55.483544-05
134,84.20,86.00,287.60,253.40,2019-01-13 16:58:55.995713-05
135,84.20,86.00,287.60,253.40,2019-01-13 16:58:56.779233-05
136,84.20,86.00,287.60,253.40,2019-01-13 16:58:57.945829-05
137,84.20,86.00,289.40,253.40,2019-01-13 16:58:58.725983-05
138,84.20,86.00,289.40,253.40,2019-01-13 16:59:00.285989-05
139,84.20,86.00,291.20,253.40,2019-01-13 16:59:01.068506-05
140,84.20,86.00,291.20,253.40,2019-01-13 16:59:01.846046-05
141,84.20,86.00,293.00,253.40,2019-01-13 16:59:03.016227-05
142,84.20,86.00,293.00,253.40,2019-01-13 16:59:03.796151-05
143,84.20,86.00,293.00,253.40,2019-01-13 16:59:04.966236-05
144,84.20,86.00,291.20,253.40,2019-01-13 16:59:06.916181-05
145,84.20,86.00,291.20,253.40,2019-01-13 16:59:06.922495-05
146,84.20,86.00,293.00,253.40,2019-01-13 16:59:07.696216-05
147,84.20,86.00,293.00,253.40,2019-01-13 16:59:08.866282-05
148,84.20,86.00,294.80,253.40,2019-01-13 16:59:10.035956-05
149,84.20,86.00,294.80,253.40,2019-01-13 16:59:10.816097-05
150,84.20,86.00,296.60,253.40,2019-01-13 16:59:11.985976-05
151,84.20,86.00,296.60,253.40,2019-01-13 16:59:12.766141-05
152,84.20,86.00,298.40,253.40,2019-01-13 16:59:13.936187-05
153,84.20,86.00,296.60,253.40,2019-01-13 16:59:14.716276-05
154,84.20,86.00,296.60,253.40,2019-01-13 16:59:15.886211-05
155,84.20,86.00,294.80,253.40,2019-01-13 16:59:17.057413-05
156,84.20,86.00,294.80,253.40,2019-01-13 16:59:17.836421-05
157,84.20,86.00,294.80,253.40,2019-01-13 16:59:19.00665-05
158,84.20,86.00,294.80,253.40,2019-01-13 16:59:19.786408-05
159,84.20,86.00,294.80,253.40,2019-01-13 16:59:20.95771-05
160,84.20,86.00,294.80,253.40,2019-01-13 16:59:21.736055-05
161,84.20,86.00,291.20,253.40,2019-01-13 16:59:22.907303-05
162,84.20,86.00,291.20,253.40,2019-01-13 16:59:24.076341-05
163,84.20,86.00,291.20,253.40,2019-01-13 16:59:24.857688-05
164,84.20,86.00,291.20,253.40,2019-01-13 16:59:26.026401-05
165,84.20,86.00,291.20,253.40,2019-01-13 16:59:26.80722-05
166,84.20,86.00,291.20,253.40,2019-01-13 16:59:28.366596-05
167,84.20,86.00,291.20,253.40,2019-01-13 16:59:28.756409-05
168,84.20,86.00,289.40,253.40,2019-01-13 16:59:29.92622-05
169,84.20,86.00,289.40,253.40,2019-01-13 16:59:31.096428-05
170,84.20,86.00,289.40,253.40,2019-01-13 16:59:31.876481-05
171,84.20,86.00,289.40,253.40,2019-01-13 16:59:33.04637-05
172,84.20,86.00,289.40,253.40,2019-01-13 16:59:33.826557-05
173,84.20,86.00,289.40,253.40,2019-01-13 16:59:34.996562-05
174,84.20,86.00,289.40,253.40,2019-01-13 16:59:35.776174-05
175,84.20,86.00,289.40,253.40,2019-01-13 16:59:36.946313-05
176,84.20,86.00,289.40,253.40,2019-01-13 16:59:37.726497-05
177,84.20,86.00,289.40,253.40,2019-01-13 16:59:39.286561-05
178,84.20,86.00,289.40,253.40,2019-01-13 16:59:40.066485-05
179,84.20,86.00,287.60,253.40,2019-01-13 16:59:40.846235-05
180,84.20,86.00,287.60,253.40,2019-01-13 16:59:42.01677-05
181,84.20,86.00,287.60,253.40,2019-01-13 16:59:42.796382-05
182,84.20,86.00,287.60,253.40,2019-01-13 16:59:43.966731-05
183,84.20,86.00,287.60,253.40,2019-01-13 16:59:44.746798-05
184,84.20,86.00,289.40,253.40,2019-01-13 16:59:45.916404-05
185,84.20,86.00,289.40,253.40,2019-01-13 16:59:47.086491-05
186,84.20,86.00,289.40,253.40,2019-01-13 16:59:47.866298-05
187,84.20,86.00,289.40,253.40,2019-01-13 16:59:49.036975-05
188,84.20,86.00,289.40,253.40,2019-01-13 16:59:49.816422-05
189,84.20,87.80,289.40,253.40,2019-01-13 16:59:50.986545-05
190,84.20,87.80,289.40,253.40,2019-01-13 16:59:51.766687-05
191,84.20,87.80,291.20,253.40,2019-01-13 16:59:52.936575-05
192,86.00,87.80,291.20,253.40,2019-01-13 16:59:54.106852-05
193,86.00,87.80,293.00,253.40,2019-01-13 16:59:54.886555-05
194,86.00,87.80,293.00,253.40,2019-01-13 16:59:56.056794-05
195,86.00,87.80,293.00,253.40,2019-01-13 16:59:56.836481-05
196,86.00,87.80,293.00,253.40,2019-01-13 16:59:58.006849-05
197,86.00,87.80,291.20,253.40,2019-01-13 16:59:58.78665-05
198,86.00,87.80,289.40,253.40,2019-01-13 16:59:59.957012-05
199,86.00,87.80,289.40,251.60,2019-01-13 17:00:00.738876-05
200,86.00,87.80,289.40,251.60,2019-01-13 17:00:01.90674-05
201,86.00,87.80,289.40,251.60,2019-01-13 17:00:03.076888-05
202,86.00,87.80,289.40,251.60,2019-01-13 17:00:03.856684-05
203,86.00,87.80,289.40,251.60,2019-01-13 17:00:05.026698-05
204,86.00,87.80,291.20,253.40,2019-01-13 17:00:05.806785-05
205,86.00,87.80,291.20,253.40,2019-01-13 17:00:06.976929-05
206,86.00,87.80,289.40,253.40,2019-01-13 17:00:07.756808-05
207,86.00,87.80,289.40,253.40,2019-01-13 17:00:08.926685-05
208,86.00,87.80,289.40,253.40,2019-01-13 17:00:10.096914-05
209,86.00,87.80,289.40,253.40,2019-01-13 17:00:10.87687-05
210,86.00,87.80,289.40,253.40,2019-01-13 17:00:12.047563-05
211,86.00,87.80,289.40,253.40,2019-01-13 17:00:12.826997-05
212,86.00,87.80,289.40,253.40,2019-01-13 17:00:13.997029-05
213,86.00,87.80,287.60,253.40,2019-01-13 17:00:14.776983-05
214,86.00,87.80,287.60,253.40,2019-01-13 17:00:15.946832-05
215,86.00,87.80,285.80,253.40,2019-01-13 17:00:16.726866-05
216,86.00,87.80,285.80,253.40,2019-01-13 17:00:18.286882-05
217,86.00,87.80,285.80,253.40,2019-01-13 17:00:19.066962-05
218,86.00,87.80,285.80,253.40,2019-01-13 17:00:19.846835-05
219,86.00,87.80,285.80,253.40,2019-01-13 17:00:21.017165-05
220,86.00,87.80,284.00,253.40,2019-01-13 17:00:21.797015-05
221,86.00,87.80,284.00,253.40,2019-01-13 17:00:22.96702-05
222,86.00,87.80,284.00,253.40,2019-01-13 17:00:23.747542-05
223,86.00,87.80,284.00,253.40,2019-01-13 17:00:24.91701-05
224,86.00,87.80,282.20,253.40,2019-01-13 17:00:26.087018-05
225,86.00,87.80,287.60,253.40,2019-01-13 17:00:27.257127-05
226,86.00,87.80,287.60,253.40,2019-01-13 17:00:28.03705-05
227,86.00,87.80,291.20,253.40,2019-01-13 17:00:28.816848-05
228,86.00,87.80,291.20,253.40,2019-01-13 17:00:29.986744-05
229,86.00,87.80,293.00,253.40,2019-01-13 17:00:30.767015-05
230,86.00,87.80,293.00,253.40,2019-01-13 17:00:31.936858-05
231,86.00,87.80,293.00,253.40,2019-01-13 17:00:33.106892-05
232,86.00,87.80,293.00,253.40,2019-01-13 17:00:33.887186-05
233,86.00,87.80,291.20,253.40,2019-01-13 17:00:35.057287-05
234,86.00,87.80,291.20,253.40,2019-01-13 17:00:35.837224-05
235,86.00,87.80,291.20,253.40,2019-01-13 17:00:37.006946-05
236,86.00,87.80,289.40,253.40,2019-01-13 17:00:37.78724-05
237,86.00,87.80,289.40,253.40,2019-01-13 17:00:38.957046-05
238,86.00,87.80,287.60,253.40,2019-01-13 17:00:39.736998-05
239,86.00,87.80,287.60,253.40,2019-01-13 17:00:40.90716-05
240,86.00,87.80,285.80,253.40,2019-01-13 17:00:42.07732-05
241,86.00,87.80,285.80,253.40,2019-01-13 17:00:42.856912-05
242,86.00,87.80,285.80,253.40,2019-01-13 17:00:44.027095-05
243,86.00,87.80,289.40,253.40,2019-01-13 17:00:44.807023-05
244,86.00,87.80,289.40,253.40,2019-01-13 17:00:45.977365-05
245,86.00,87.80,289.40,253.40,2019-01-13 17:00:46.757068-05
246,86.00,87.80,289.40,253.40,2019-01-13 17:00:47.927059-05
247,86.00,87.80,289.40,253.40,2019-01-13 17:00:49.097031-05
248,86.00,87.80,289.40,253.40,2019-01-13 17:00:49.877344-05
249,86.00,87.80,289.40,253.40,2019-01-13 17:00:51.047357-05
250,86.00,87.80,289.40,253.40,2019-01-13 17:00:51.827495-05
251,86.00,87.80,289.40,253.40,2019-01-13 17:00:52.997228-05
252,86.00,87.80,287.60,253.40,2019-01-13 17:00:53.777272-05
253,86.00,87.80,287.60,253.40,2019-01-13 17:00:54.947365-05
254,86.00,87.80,287.60,253.40,2019-01-13 17:00:56.117137-05
255,86.00,87.80,287.60,253.40,2019-01-13 17:00:56.897815-05
256,86.00,87.80,287.60,253.40,2019-01-13 17:00:58.067069-05
257,86.00,87.80,287.60,253.40,2019-01-13 17:00:58.847321-05
258,86.00,87.80,287.60,253.40,2019-01-13 17:01:00.017998-05
259,86.00,87.80,287.60,253.40,2019-01-13 17:01:00.797923-05
260,86.00,87.80,285.80,253.40,2019-01-13 17:01:02.357127-05
261,86.00,87.80,284.00,253.40,2019-01-13 17:01:02.747381-05
262,86.00,87.80,284.00,253.40,2019-01-13 17:01:03.917534-05
263,86.00,87.80,285.80,253.40,2019-01-13 17:01:05.087488-05
264,86.00,87.80,285.80,253.40,2019-01-13 17:01:05.867186-05
265,86.00,87.80,287.60,253.40,2019-01-13 17:01:07.427503-05
266,86.00,89.60,287.60,253.40,2019-01-13 17:01:07.817248-05
267,86.00,89.60,287.60,253.40,2019-01-13 17:01:08.987122-05
268,86.00,89.60,287.60,253.40,2019-01-13 17:01:09.767377-05
269,86.00,89.60,287.60,253.40,2019-01-13 17:01:10.937212-05
270,86.00,89.60,287.60,253.40,2019-01-13 17:01:12.49721-05
271,86.00,89.60,287.60,253.40,2019-01-13 17:01:12.887205-05
272,86.00,89.60,285.80,253.40,2019-01-13 17:01:14.05723-05
273,86.00,89.60,285.80,253.40,2019-01-13 17:01:14.837464-05
274,86.00,89.60,285.80,253.40,2019-01-13 17:01:16.007234-05
275,86.00,89.60,285.80,253.40,2019-01-13 17:01:16.787124-05
276,86.00,89.60,285.80,253.40,2019-01-13 17:01:17.957318-05
277,86.00,89.60,285.80,253.40,2019-01-13 17:01:19.127317-05
278,86.00,89.60,285.80,253.40,2019-01-13 17:01:19.907329-05
279,86.00,89.60,285.80,253.40,2019-01-13 17:01:21.077602-05
280,87.80,89.60,285.80,253.40,2019-01-13 17:01:21.857467-05
281,87.80,89.60,285.80,253.40,2019-01-13 17:01:23.027704-05
282,87.80,89.60,285.80,253.40,2019-01-13 17:01:23.807378-05
283,87.80,89.60,285.80,255.20,2019-01-13 17:01:25.367449-05
284,87.80,89.60,285.80,255.20,2019-01-13 17:01:25.757458-05
285,87.80,89.60,285.80,255.20,2019-01-13 17:01:26.927352-05
286,87.80,89.60,285.80,255.20,2019-01-13 17:01:28.097562-05
287,87.80,89.60,285.80,255.20,2019-01-13 17:01:28.877613-05
288,87.80,89.60,285.80,255.20,2019-01-13 17:01:30.047905-05
289,87.80,89.60,285.80,255.20,2019-01-13 17:01:30.827698-05
290,87.80,89.60,285.80,255.20,2019-01-13 17:01:31.997416-05
291,87.80,89.60,285.80,255.20,2019-01-13 17:01:32.777438-05
292,87.80,89.60,285.80,255.20,2019-01-13 17:01:33.947812-05
293,87.80,89.60,285.80,255.20,2019-01-13 17:01:35.117653-05
294,87.80,89.60,285.80,255.20,2019-01-13 17:01:35.897567-05
295,87.80,89.60,285.80,255.20,2019-01-13 17:01:37.067506-05
296,87.80,89.60,287.60,255.20,2019-01-13 17:01:37.847558-05
297,87.80,89.60,289.40,255.20,2019-01-13 17:01:39.017739-05
298,87.80,89.60,289.40,255.20,2019-01-13 17:01:39.797713-05
299,87.80,89.60,291.20,255.20,2019-01-13 17:01:40.967587-05
300,87.80,89.60,291.20,253.40,2019-01-13 17:01:42.137427-05
301,87.80,89.60,291.20,253.40,2019-01-13 17:01:42.917676-05
302,87.80,89.60,291.20,253.40,2019-01-13 17:01:44.087814-05
303,87.80,89.60,291.20,253.40,2019-01-13 17:01:44.868007-05
304,87.80,89.60,291.20,253.40,2019-01-13 17:01:46.037962-05
305,87.80,89.60,293.00,253.40,2019-01-13 17:01:46.817526-05
306,87.80,89.60,293.00,253.40,2019-01-13 17:01:47.987482-05
307,87.80,89.60,293.00,253.40,2019-01-13 17:01:49.15747-05
308,87.80,89.60,293.00,253.40,2019-01-13 17:01:49.937898-05
309,87.80,89.60,293.00,253.40,2019-01-13 17:01:51.107786-05
310,87.80,89.60,293.00,253.40,2019-01-13 17:01:51.887832-05
311,87.80,89.60,293.00,253.40,2019-01-13 17:01:53.057646-05
312,87.80,89.60,293.00,253.40,2019-01-13 17:01:53.837932-05
313,87.80,89.60,293.00,253.40,2019-01-13 17:01:55.007555-05
314,87.80,89.60,293.00,253.40,2019-01-13 17:01:55.787456-05
315,87.80,89.60,293.00,253.40,2019-01-13 17:01:56.957756-05
316,87.80,89.60,293.00,253.40,2019-01-13 17:01:58.127757-05
317,87.80,89.60,294.80,253.40,2019-01-13 17:01:58.907696-05
318,87.80,89.60,294.80,253.40,2019-01-13 17:02:00.077862-05
319,87.80,89.60,294.80,253.40,2019-01-13 17:02:00.860422-05
320,87.80,89.60,294.80,253.40,2019-01-13 17:02:02.027555-05
321,87.80,89.60,294.80,253.40,2019-01-13 17:02:02.807979-05
322,87.80,89.60,294.80,253.40,2019-01-13 17:02:03.977757-05
323,87.80,89.60,293.00,253.40,2019-01-13 17:02:05.147655-05
324,87.80,89.60,293.00,253.40,2019-01-13 17:02:05.92759-05
325,87.80,89.60,293.00,253.40,2019-01-13 17:02:07.097533-05
326,87.80,89.60,293.00,253.40,2019-01-13 17:02:07.877688-05
327,87.80,89.60,293.00,253.40,2019-01-13 17:02:09.047934-05
328,87.80,89.60,293.00,253.40,2019-01-13 17:02:09.828605-05
329,87.80,89.60,293.00,253.40,2019-01-13 17:02:10.999729-05
330,87.80,89.60,294.80,253.40,2019-01-13 17:02:11.777702-05
331,87.80,89.60,294.80,253.40,2019-01-13 17:02:12.94771-05
332,87.80,89.60,294.80,253.40,2019-01-13 17:02:14.117676-05
333,87.80,89.60,294.80,253.40,2019-01-13 17:02:15.287559-05
334,87.80,89.60,294.80,253.40,2019-01-13 17:02:16.067784-05
335,87.80,89.60,293.00,253.40,2019-01-13 17:02:16.847878-05
336,87.80,89.60,293.00,253.40,2019-01-13 17:02:18.017955-05
337,87.80,89.60,293.00,253.40,2019-01-13 17:02:18.798101-05
338,87.80,89.60,293.00,253.40,2019-01-13 17:02:19.968461-05
339,87.80,89.60,293.00,251.60,2019-01-13 17:02:21.138903-05
340,87.80,89.60,293.00,251.60,2019-01-13 17:02:21.91789-05
341,87.80,89.60,293.00,251.60,2019-01-13 17:02:23.088274-05
342,87.80,89.60,293.00,251.60,2019-01-13 17:02:23.867933-05
343,87.80,89.60,293.00,251.60,2019-01-13 17:02:25.037921-05
344,87.80,89.60,294.80,251.60,2019-01-13 17:02:25.817798-05
345,87.80,89.60,294.80,251.60,2019-01-13 17:02:26.988098-05
346,87.80,91.40,296.60,251.60,2019-01-13 17:02:28.547851-05
347,87.80,91.40,296.60,251.60,2019-01-13 17:02:28.937943-05
348,87.80,91.40,296.60,251.60,2019-01-13 17:02:30.108186-05
349,87.80,91.40,296.60,251.60,2019-01-13 17:02:30.887899-05
350,87.80,91.40,296.60,251.60,2019-01-13 17:02:32.448186-05
351,87.80,91.40,296.60,251.60,2019-01-13 17:02:32.837943-05
352,87.80,91.40,296.60,251.60,2019-01-13 17:02:34.008679-05
353,87.80,91.40,298.40,251.60,2019-01-13 17:02:34.787898-05
354,87.80,91.40,298.40,251.60,2019-01-13 17:02:35.957822-05
355,87.80,91.40,298.40,251.60,2019-01-13 17:02:37.127922-05
356,87.80,91.40,298.40,251.60,2019-01-13 17:02:37.907993-05
357,87.80,91.40,300.20,251.60,2019-01-13 17:02:39.078034-05
358,87.80,91.40,300.20,251.60,2019-01-13 17:02:40.248145-05
359,87.80,91.40,300.20,253.40,2019-01-13 17:02:41.028289-05
360,87.80,91.40,300.20,253.40,2019-01-13 17:02:41.808104-05
361,87.80,91.40,300.20,253.40,2019-01-13 17:02:42.978063-05
362,87.80,91.40,300.20,253.40,2019-01-13 17:02:44.148086-05
363,87.80,91.40,300.20,253.40,2019-01-13 17:02:44.928056-05
364,87.80,91.40,300.20,253.40,2019-01-13 17:02:46.098206-05
365,87.80,91.40,300.20,253.40,2019-01-13 17:02:46.878021-05
366,87.80,91.40,300.20,253.40,2019-01-13 17:02:48.048315-05
367,87.80,91.40,300.20,253.40,2019-01-13 17:02:48.828254-05
368,87.80,91.40,300.20,253.40,2019-01-13 17:02:49.998531-05
369,87.80,91.40,300.20,253.40,2019-01-13 17:02:50.778124-05
370,89.60,91.40,300.20,253.40,2019-01-13 17:02:51.947999-05
371,89.60,91.40,298.40,253.40,2019-01-13 17:02:53.118139-05
372,89.60,91.40,298.40,253.40,2019-01-13 17:02:53.898265-05
373,89.60,91.40,296.60,253.40,2019-01-13 17:02:55.068284-05
374,89.60,91.40,296.60,253.40,2019-01-13 17:02:55.848049-05
375,89.60,91.40,294.80,253.40,2019-01-13 17:02:57.018555-05
376,89.60,91.40,294.80,253.40,2019-01-13 17:02:57.797978-05
377,89.60,91.40,293.00,253.40,2019-01-13 17:02:58.968028-05
378,89.60,91.40,293.00,253.40,2019-01-13 17:03:00.138229-05
379,89.60,91.40,293.00,253.40,2019-01-13 17:03:00.920152-05
380,89.60,91.40,294.80,253.40,2019-01-13 17:03:02.088698-05
381,89.60,91.40,294.80,253.40,2019-01-13 17:03:02.868367-05
382,89.60,91.40,294.80,253.40,2019-01-13 17:03:04.038503-05
383,89.60,91.40,294.80,253.40,2019-01-13 17:03:04.818248-05
384,89.60,91.40,293.00,253.40,2019-01-13 17:03:05.988187-05
385,89.60,91.40,293.00,253.40,2019-01-13 17:03:07.158253-05
386,89.60,91.40,293.00,253.40,2019-01-13 17:03:07.938274-05
387,89.60,91.40,291.20,253.40,2019-01-13 17:03:09.108234-05
